Text,Start Time,Duration,Video ID
"If Sam Sam Darnold wins the Super Bowl,",0.08,4.4,mBK8o5orBbE
will we consider him elite? Cam Newton,2.24,3.68,mBK8o5orBbE
says he is playing possessed. What do,4.48,2.48,mBK8o5orBbE
you think? This for me?,5.92,1.839,mBK8o5orBbE
>> Yep.,6.96,4.88,mBK8o5orBbE
>> Hell no. What you mean elite? Elite is,7.759,5.84,mBK8o5orBbE
reserved for the dude that just walked,11.84,4.48,mBK8o5orBbE
out of here. That's That's elite. Like I,13.599,4.961,mBK8o5orBbE
"what? Well, whatever your definition is,",16.32,4.24,mBK8o5orBbE
like like I've I I've had to become a,18.56,4.24,mBK8o5orBbE
better person through my therapist for,20.56,4.879,mBK8o5orBbE
"not thinking that everybody thinks, you",22.8,5.28,mBK8o5orBbE
"know, when when things should be obvious",25.439,4.16,mBK8o5orBbE
when when I think things should be,28.08,3.039,mBK8o5orBbE
obvious that everybody else should.,29.599,3.841,mBK8o5orBbE
"Here's the thing, man. Like I I think",31.119,5.6,mBK8o5orBbE
because we so inundated with clips of,33.44,6.56,mBK8o5orBbE
sports and we always see it and it's,36.719,6.241,mBK8o5orBbE
always on and we get this idea that,40.0,5.44,mBK8o5orBbE
because a dude accomplishes something or,42.96,6.079,mBK8o5orBbE
it's a it's a great story to tell. Like,45.44,6.72,mBK8o5orBbE
"it's one MJ, it's one Brun, it's one",49.039,6.241,mBK8o5orBbE
"Gretzky, it's one Dion Sanders. Like the",52.16,5.28,mBK8o5orBbE
"these are the when when I think elite,",55.28,5.119,mBK8o5orBbE
Bo Jackson was elite. Like there's a,57.44,4.959,mBK8o5orBbE
difference when those guys are doing,60.399,4.641,mBK8o5orBbE
what they do as opposed to everybody,62.399,6.641,mBK8o5orBbE
else. So I don't tag that moniker to Sam,65.04,6.24,mBK8o5orBbE
Dorno. It's just that simple. When you,69.04,4.64,mBK8o5orBbE
"give the words elite or great, to me",71.28,4.96,mBK8o5orBbE
that's a upper echelon tier that only is,73.68,4.16,mBK8o5orBbE
reserved for a few people that's ever,76.24,2.08,mBK8o5orBbE
done things.,77.84,1.68,mBK8o5orBbE
>> But you're mentioning players that don't,78.32,2.64,mBK8o5orBbE
play anymore. Are there elite,79.52,3.2,mBK8o5orBbE
quarterbacks that maybe he could surpass,80.96,3.12,mBK8o5orBbE
or very good quarterbacks he could,82.72,2.8,mBK8o5orBbE
surpass that are currently playing?,84.08,2.88,mBK8o5orBbE
