seed,original_index,text,raw_response,llm_label,llm_name,gemma-3-27b-it
3,0,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .","{""predicted_sentence_label"": 0}",0,gemma-3-27b-it,0
3,1,"Gusty winds and rainfall will affect coastal locations of the Mid-Atlantic and Northeast on Wednesday, with lingering showers in the Four Corners states potentially persisting through the weekend.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,2,"Its stock, which was as high as $18.75 a share, has been trading under $4 a share recently.","{""predicted_sentence_label"": 0}",0,gemma-3-27b-it,0
3,3,"Light rain and potential light snow in the northern regions during the weekend, with an active rainfall pattern overall across the eastern U.S., particularly from Texas to the Tennessee Valley, likely resulting in moderate-heavy localized rainfall.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,4,"Active weather will persist, supported by high humidity and potential severe weather threats in the eastern U.S.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,5,"Highs will be 15-20F above normal in the Pacific Northwest early in the week, followed by gradual moderation.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,6,"Heavy rainfall is expected across the Central Rockies, Plains, and Mid-Mississippi/Ohio/Tennessee Valleys, with potential for locally excessive rainfall due to repeat cells.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,7,"Expect high temperatures 5-15F above normal over the Interior West/Rockies on Sun-Mon, with slight cooling afterward.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,8,"Heavy rainfall is forecast for the Pacific Northwest on Saturday, October 16, along with much below normal temperatures in the Northern and Central Plains and the Southwest on Friday, October 15.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,9,"Heavy convection likely across the Midwest and Great Lakes on Saturday and Sunday, with sufficient moisture and instability to support severe storms.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,10,"An upper-level ridge will intensify hot temperatures across the south-central U.S., with highs projected to be 5 to 10+ degrees Fahrenheit above average from the North-Central Plains to the Eastern Seaboard through early next week.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
3,11,And then they could no longer maintain the charade  who else could it have been?,"{""predicted_sentence_label"": 0}",0,gemma-3-27b-it,0
3,12,"A deep closed upper low will move into the Canadian Maritimes by September 2nd, with a shortwave influencing the upper Mississippi Valley.","{""predicted_sentence_label"": 1}",1,gemma-3-27b-it,1
