seed,original_index,text,gemma-3-27b-it,granite-3.3-8b-instruct,mistral-small-3.1
33,0,"Southeastern Texas may experience rain later in the period, particularly over southern locations.",1,1,1
33,1,"Troughing in the East will shift into the Atlantic, while Pacific troughing moves into the Northwest midweek.",1,1,0
33,2,"The win percentage at the Dallas Cowboys should stay same 21 August 2024, according to Sport Analyst Chris Thompson.",1,1,1
33,3,"An increasingly hot and dry pattern will develop across the Southeast with potential record highs and higher temperatures expected in the Southwest, though surface moisture from recent rains may temper heat increases.",1,1,1
33,4,"Shortwaves expected across the West, with a cold front advancing through the north-central U.S. and Midwest.",1,1,0
33,5,"In 2027-10-01, Coach Rachel Patel envisions that the goal average at the Barcelona soccer team has some probability to remain stable.",1,1,1
33,6,"On 21 August 2024,  an analyst envisioned that the inflation rate at Wells Fargo decreased.",1,1,0
33,7,"Widespread precipitation will lead to potential flash flooding; wintry conditions, including snow and sleet, are likely in colder regions.",1,1,0
33,8,"Polar air will remain confined to higher latitudes, with temperatures generally below normal, especially on Sunday with a 10 to 15 degree drop.",1,1,1
33,9,"A surface low is expected to deepen over the western Gulf of Mexico, potentially forming a cyclone near the lower Great Lakes by Sunday morning.",1,1,1
33,10,"agreement with SHB 30 December 2009 - Finnish financial services group Aktia HEL : AKTAV has concluded a market making agreement with Svenska Handelsbanken STO : SHB A , or SHB , the two parties said today .",0,0,0
33,11,"A warming trend of 10-20F for highs and 20-30F for morning lows predicted next week in the central and eastern states, while northern plains may experience highs 15-20F below normal starting Monday.",1,1,1
33,12,The weather reporter observed that the temperature at the National Weather Service had remained stable on 2024-08-15.,0,1,0
33,13,"A broad longwave trough will influence the Great Lakes and Northeastern U.S., with an arctic high-pressure system descending into the Northern and Central Plains, bringing record-low temperatures closer to January records.",1,1,0
33,14,"Precipitation will extend ahead of a deepening low and cold front, with winds increasing and possible blizzard conditions.",1,1,0
33,15,"A progressive cold front may enhance rainfall across the Midwest and Southeast, particularly affecting parts of Florida.",1,1,1
33,16,"Integra, which owns and operates hotels, said that Hallwood Group Inc. has agreed to exercise any rights that are n't exercised by other shareholders.",0,0,0
33,17,"Wild temperature swings likely ahead of the approaching cold front, with warm but windy conditions in localized areas.",1,1,0
33,18,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,0,0,0
33,19,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",1,1,1
33,20,"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",0,0,0
33,21,"Ample moisture and instability will support convection from the mid-South to the Gulf Coast, with stronger forcing near the upper trough to the north.",1,1,0
33,22,"Humidity will remain high, especially with dewpoints exceeding 70 degrees in Deep South Texas.",1,1,1
33,23,"Rain is forecasted to move through the east-central and eastern U.S. later in the week, with a cold front causing showers and thunderstorms.",1,1,1
33,24,Also Lemmink+inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,0,0,0
33,25,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",0,1,0
33,26,Moisture from Hurricane Frank may influence conditions in the Southwest and Rockies.,1,1,0
33,27,Severe weather is likely in the Southern Plains due to moist inflow from the Gulf of Mexico.,1,1,1
33,28,"An upper ridge will develop after a trough exits the East Coast, while a cutoff low will influence the Southwest U.S. and Northern Mexico.",1,1,0
33,29,"On 2/27/2029, Dr. Rachel Kim monitored that obesity rates at rural elementary schools in Texas changed.",0,0,0
33,30,"Heavy rain and severe weather are expected across the South on Tuesday, moving to the Eastern Seaboard midweek.",1,1,1
33,31,"The WPC forecast favors an EC/GEFS ensemble mean blend throughout the period, with contributions from the Canadian model at the start.",1,1,1
33,32,"Temperatures in the western regions are expected to be very warm to hot, reaching 10-15F above normal, particularly from Sunday to Tuesday, potentially approaching record highs in interior California, Oregon, and Washington.",1,1,1
33,33,"As part of the reorganization , Kauko-Telko Ltd will be divided into Telko Ltd , Leipurin Ltd , Hamina Terminal Services Ltd and Kaukomarkkinat Ltd. .",0,0,0
33,34,"Heavy precipitation threats are forecasted, including across the Northeast, Lower and Middle Mississippi Valley, Tennessee Valley, and Pacific Northwest, particularly Monday and Tuesday, November 25-26.",1,1,1
33,35,Below average temperatures will persist near the upper trough axis across the central Rockies and northern plains.,1,1,1
33,36,"Expect widespread heavy rainfall accompanying the upper trough entering the High Plains and Central CONUS, with scattered precipitation beneath the low extending from California into the Intermountain West.",1,1,0
33,37,"Turkey, worried about civil war in Kosovo spilling to the whole Balkans, urged all Balkan states to sign a joint declaration that the Kosovo crisis be solved peacefully and without any change of borders.",0,0,0
33,38,Proline Plus is a mechanical liquid handling device with a robust design suitable for all types of applications .,0,0,0
33,39,"Next week will see multiple rounds of heavy rainfall in the southeastern U.S., with significant rain expected Monday-Tuesday in the Tennessee Valley and Southeast, and again Wednesday-Thursday in the Lower Mississippi and Tennessee Valleys, Southern Appalachians, and Southeast.",1,1,1
33,40,"Warming is predicted along the West Coast, with temperatures 5-10F above normal by Sunday-Monday, while the East will remain cooler under persistent troughing.",1,1,1
33,41,"Daytime temperatures will start off 15 to 20 degrees above normal in the central to southern Plains on Thursday but will shift to below normal as Arctic air moves into the northern tier, potentially dropping temperatures 15 to 25 degrees below normal in the northern Plains.",1,1,1
33,42,"Significant precipitation is anticipated across the Western states primarily from Wednesday to Thursday, becoming lighter and more scattered by Friday.",1,1,1
33,43,"The CDC predicts on 2024-08-21, the average physical activity levels in the US may rise.",1,1,1
